"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"26882","Native",1,24,"reflexive","tt","reflexive tt",4,0,177,177,"Unambiguous","Mismatch"
"26884","Native",1,12,"reflexive","tt","reflexive tt",4,0,654,654,"Unambiguous","Mismatch"
"26886","Native",1,6,"reflexive","tt","reflexive tt",2,0,324,324,"Ambiguous","Mismatch"
"26888","Native",1,7,"reflexive","tt","reflexive tt",3,0,661,661,"Unambiguous","Match"
"26890","Native",1,14,"reflexive","tt","reflexive tt",2,0,463,463,"Ambiguous","Mismatch"
"26892","Native",1,21,"reflexive","tt","reflexive tt",1,0,383,383,"Ambiguous","Match"
"26894","Native",1,19,"reflexive","tt","reflexive tt",3,0,346,346,"Unambiguous","Match"
"26896","Native",1,17,"reflexive","tt","reflexive tt",1,0,547,547,"Ambiguous","Match"
"26898","Native",1,10,"reflexive","tt","reflexive tt",2,0,592,592,"Ambiguous","Mismatch"
"26900","Native",1,23,"reflexive","tt","reflexive tt",3,0,926,926,"Unambiguous","Match"
"26902","Native",1,15,"reflexive","tt","reflexive tt",3,0,487,487,"Unambiguous","Match"
"26904","Native",1,1,"reflexive","tt","reflexive tt",1,0,317,317,"Ambiguous","Match"
"26906","Native",1,2,"reflexive","tt","reflexive tt",2,0,659,659,"Ambiguous","Mismatch"
"26908","Native",1,5,"reflexive","tt","reflexive tt",1,0,179,179,"Ambiguous","Match"
"26910","Native",1,16,"reflexive","tt","reflexive tt",4,0,448,448,"Unambiguous","Mismatch"
"26912","Native",1,3,"reflexive","tt","reflexive tt",3,0,224,224,"Unambiguous","Match"
"26914","Native",1,13,"reflexive","tt","reflexive tt",1,0,1196,1196,"Ambiguous","Match"
"26916","Native",1,11,"reflexive","tt","reflexive tt",3,0,191,191,"Unambiguous","Match"
"26918","Native",1,9,"reflexive","tt","reflexive tt",1,0,203,203,"Ambiguous","Match"
"26920","Native",1,8,"reflexive","tt","reflexive tt",4,0,397,397,"Unambiguous","Mismatch"
"26922","Native",1,4,"reflexive","tt","reflexive tt",4,0,531,531,"Unambiguous","Mismatch"
"26924","Native",1,20,"reflexive","tt","reflexive tt",4,0,898,898,"Unambiguous","Mismatch"
