"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"1922","Native",1,24,"spillover1","fp","spillover1 fp",4,0,364,364,"Unambiguous","Mismatch"
"1924","Native",1,12,"spillover1","fp","spillover1 fp",4,0,272,272,"Unambiguous","Mismatch"
"1926","Native",1,6,"spillover1","fp","spillover1 fp",2,0,161,161,"Ambiguous","Mismatch"
"1928","Native",1,7,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match"
"1930","Native",1,14,"spillover1","fp","spillover1 fp",2,0,175,175,"Ambiguous","Mismatch"
"1932","Native",1,21,"spillover1","fp","spillover1 fp",1,0,195,195,"Ambiguous","Match"
"1934","Native",1,19,"spillover1","fp","spillover1 fp",3,0,206,206,"Unambiguous","Match"
"1936","Native",1,17,"spillover1","fp","spillover1 fp",1,0,265,265,"Ambiguous","Match"
"1938","Native",1,10,"spillover1","fp","spillover1 fp",2,0,185,185,"Ambiguous","Mismatch"
"1940","Native",1,23,"spillover1","fp","spillover1 fp",3,0,290,290,"Unambiguous","Match"
"1942","Native",1,15,"spillover1","fp","spillover1 fp",3,0,195,195,"Unambiguous","Match"
"1944","Native",1,1,"spillover1","fp","spillover1 fp",1,0,179,179,"Ambiguous","Match"
"1946","Native",1,2,"spillover1","fp","spillover1 fp",2,0,209,209,"Ambiguous","Mismatch"
"1948","Native",1,5,"spillover1","fp","spillover1 fp",1,0,408,408,"Ambiguous","Match"
"1950","Native",1,16,"spillover1","fp","spillover1 fp",4,0,233,233,"Unambiguous","Mismatch"
"1952","Native",1,3,"spillover1","fp","spillover1 fp",3,0,545,545,"Unambiguous","Match"
"1954","Native",1,13,"spillover1","fp","spillover1 fp",1,0,197,197,"Ambiguous","Match"
"1956","Native",1,11,"spillover1","fp","spillover1 fp",3,0,220,220,"Unambiguous","Match"
"1958","Native",1,9,"spillover1","fp","spillover1 fp",1,0,178,178,"Ambiguous","Match"
"1960","Native",1,8,"spillover1","fp","spillover1 fp",4,0,442,442,"Unambiguous","Mismatch"
"1962","Native",1,4,"spillover1","fp","spillover1 fp",4,0,224,224,"Unambiguous","Mismatch"
"1964","Native",1,20,"spillover1","fp","spillover1 fp",4,0,341,341,"Unambiguous","Mismatch"
"1966","Native",1,18,"spillover1","fp","spillover1 fp",2,0,266,266,"Ambiguous","Mismatch"
"1968","Native",1,22,"spillover1","fp","spillover1 fp",2,0,433,433,"Ambiguous","Mismatch"
"1970","Native",2,14,"spillover1","fp","spillover1 fp",3,0,208,208,"Unambiguous","Match"
"1972","Native",2,4,"spillover1","fp","spillover1 fp",1,0,532,532,"Ambiguous","Match"
"1974","Native",2,19,"spillover1","fp","spillover1 fp",4,0,195,195,"Unambiguous","Mismatch"
"1976","Native",2,1,"spillover1","fp","spillover1 fp",2,0,205,205,"Ambiguous","Mismatch"
"1978","Native",2,5,"spillover1","fp","spillover1 fp",2,0,420,420,"Ambiguous","Mismatch"
"1980","Native",2,15,"spillover1","fp","spillover1 fp",4,0,332,332,"Unambiguous","Mismatch"
"1982","Native",2,7,"spillover1","fp","spillover1 fp",4,1,0,NA,"Unambiguous","Mismatch"
"1984","Native",2,18,"spillover1","fp","spillover1 fp",3,0,288,288,"Unambiguous","Match"
"1986","Native",2,6,"spillover1","fp","spillover1 fp",3,0,184,184,"Unambiguous","Match"
"1988","Native",2,22,"spillover1","fp","spillover1 fp",3,0,166,166,"Unambiguous","Match"
"1990","Native",2,10,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match"
"1992","Native",2,8,"spillover1","fp","spillover1 fp",1,0,248,248,"Ambiguous","Match"
"1994","Native",2,24,"spillover1","fp","spillover1 fp",1,0,499,499,"Ambiguous","Match"
"1996","Native",2,17,"spillover1","fp","spillover1 fp",2,0,192,192,"Ambiguous","Mismatch"
"1998","Native",2,2,"spillover1","fp","spillover1 fp",3,0,211,211,"Unambiguous","Match"
"2000","Native",2,11,"spillover1","fp","spillover1 fp",4,0,250,250,"Unambiguous","Mismatch"
"2002","Native",2,3,"spillover1","fp","spillover1 fp",4,0,162,162,"Unambiguous","Mismatch"
"2004","Native",2,21,"spillover1","fp","spillover1 fp",2,0,183,183,"Ambiguous","Mismatch"
"2006","Native",2,20,"spillover1","fp","spillover1 fp",1,0,194,194,"Ambiguous","Match"
"2008","Native",2,16,"spillover1","fp","spillover1 fp",1,1,0,NA,"Ambiguous","Match"
"2010","Native",2,13,"spillover1","fp","spillover1 fp",2,0,198,198,"Ambiguous","Mismatch"
"2012","Native",2,9,"spillover1","fp","spillover1 fp",2,0,161,161,"Ambiguous","Mismatch"
"2014","Native",2,12,"spillover1","fp","spillover1 fp",1,0,457,457,"Ambiguous","Match"
"2016","Native",2,23,"spillover1","fp","spillover1 fp",4,0,366,366,"Unambiguous","Mismatch"
"2017","Native",3,11,"spillover1","fp","spillover1 fp",1,0,373,373,"Ambiguous","Match"
"2019","Native",3,21,"spillover1","fp","spillover1 fp",3,0,343,343,"Unambiguous","Match"
"2021","Native",3,2,"spillover1","fp","spillover1 fp",4,0,585,585,"Unambiguous","Mismatch"
"2023","Native",3,20,"spillover1","fp","spillover1 fp",2,0,284,284,"Ambiguous","Mismatch"
"2025","Native",3,9,"spillover1","fp","spillover1 fp",3,0,274,274,"Unambiguous","Match"
"2027","Native",3,4,"spillover1","fp","spillover1 fp",2,0,175,175,"Ambiguous","Mismatch"
"2029","Native",3,3,"spillover1","fp","spillover1 fp",1,0,637,637,"Ambiguous","Match"
"2031","Native",3,1,"spillover1","fp","spillover1 fp",3,0,327,327,"Unambiguous","Match"
"2033","Native",3,13,"spillover1","fp","spillover1 fp",3,0,326,326,"Unambiguous","Match"
"2035","Native",3,18,"spillover1","fp","spillover1 fp",4,0,384,384,"Unambiguous","Mismatch"
"2037","Native",3,7,"spillover1","fp","spillover1 fp",1,0,757,757,"Ambiguous","Match"
"2039","Native",3,5,"spillover1","fp","spillover1 fp",3,0,318,318,"Unambiguous","Match"
"2041","Native",3,15,"spillover1","fp","spillover1 fp",1,0,218,218,"Ambiguous","Match"
"2043","Native",3,16,"spillover1","fp","spillover1 fp",2,0,306,306,"Ambiguous","Mismatch"
"2045","Native",3,8,"spillover1","fp","spillover1 fp",2,0,176,176,"Ambiguous","Mismatch"
"2047","Native",3,22,"spillover1","fp","spillover1 fp",4,0,189,189,"Unambiguous","Mismatch"
"2049","Native",3,17,"spillover1","fp","spillover1 fp",3,0,419,419,"Unambiguous","Match"
"2051","Native",3,19,"spillover1","fp","spillover1 fp",1,0,116,116,"Ambiguous","Match"
"2053","Native",3,23,"spillover1","fp","spillover1 fp",1,0,785,785,"Ambiguous","Match"
"2055","Native",3,14,"spillover1","fp","spillover1 fp",4,0,446,446,"Unambiguous","Mismatch"
"2057","Native",3,24,"spillover1","fp","spillover1 fp",2,0,416,416,"Ambiguous","Mismatch"
"2059","Native",3,10,"spillover1","fp","spillover1 fp",4,0,403,403,"Unambiguous","Mismatch"
"2061","Native",3,12,"spillover1","fp","spillover1 fp",2,0,195,195,"Ambiguous","Mismatch"
"2063","Native",3,6,"spillover1","fp","spillover1 fp",4,0,200,200,"Unambiguous","Mismatch"
"2065","Native",4,21,"spillover1","fp","spillover1 fp",4,0,338,338,"Unambiguous","Mismatch"
"2067","Native",4,14,"spillover1","fp","spillover1 fp",1,0,244,244,"Ambiguous","Match"
"2069","Native",4,22,"spillover1","fp","spillover1 fp",1,0,351,351,"Ambiguous","Match"
"2071","Native",4,11,"spillover1","fp","spillover1 fp",2,0,223,223,"Ambiguous","Mismatch"
"2073","Native",4,15,"spillover1","fp","spillover1 fp",2,0,361,361,"Ambiguous","Mismatch"
"2075","Native",4,23,"spillover1","fp","spillover1 fp",2,0,268,268,"Ambiguous","Mismatch"
"2077","Native",4,18,"spillover1","fp","spillover1 fp",1,0,342,342,"Ambiguous","Match"
"2079","Native",4,6,"spillover1","fp","spillover1 fp",1,0,248,248,"Ambiguous","Match"
"2081","Native",4,10,"spillover1","fp","spillover1 fp",1,0,155,155,"Ambiguous","Match"
"2083","Native",4,12,"spillover1","fp","spillover1 fp",3,0,347,347,"Unambiguous","Match"
"2085","Native",4,19,"spillover1","fp","spillover1 fp",2,0,240,240,"Ambiguous","Mismatch"
"2087","Native",4,1,"spillover1","fp","spillover1 fp",4,0,173,173,"Unambiguous","Mismatch"
"2089","Native",4,20,"spillover1","fp","spillover1 fp",3,0,254,254,"Unambiguous","Match"
"2091","Native",4,16,"spillover1","fp","spillover1 fp",3,0,194,194,"Unambiguous","Match"
"2093","Native",4,2,"spillover1","fp","spillover1 fp",1,0,270,270,"Ambiguous","Match"
"2095","Native",4,5,"spillover1","fp","spillover1 fp",4,0,167,167,"Unambiguous","Mismatch"
"2097","Native",4,17,"spillover1","fp","spillover1 fp",4,0,808,808,"Unambiguous","Mismatch"
"2099","Native",4,24,"spillover1","fp","spillover1 fp",3,0,149,149,"Unambiguous","Match"
"2101","Native",4,13,"spillover1","fp","spillover1 fp",4,0,313,313,"Unambiguous","Mismatch"
"2103","Native",4,8,"spillover1","fp","spillover1 fp",3,0,235,235,"Unambiguous","Match"
"2105","Native",4,9,"spillover1","fp","spillover1 fp",4,0,484,484,"Unambiguous","Mismatch"
"2107","Native",4,7,"spillover1","fp","spillover1 fp",2,0,277,277,"Ambiguous","Mismatch"
"2109","Native",4,4,"spillover1","fp","spillover1 fp",3,0,362,362,"Unambiguous","Match"
"2111","Native",4,3,"spillover1","fp","spillover1 fp",2,1,0,NA,"Ambiguous","Mismatch"
"2114","Native",5,8,"spillover1","fp","spillover1 fp",4,0,173,173,"Unambiguous","Mismatch"
"2116","Native",5,4,"spillover1","fp","spillover1 fp",4,0,449,449,"Unambiguous","Mismatch"
"2118","Native",5,19,"spillover1","fp","spillover1 fp",3,0,342,342,"Unambiguous","Match"
"2120","Native",5,21,"spillover1","fp","spillover1 fp",1,0,618,618,"Ambiguous","Match"
"2122","Native",5,13,"spillover1","fp","spillover1 fp",1,0,401,401,"Ambiguous","Match"
"2124","Native",5,9,"spillover1","fp","spillover1 fp",1,1,0,NA,"Ambiguous","Match"
"2126","Native",5,3,"spillover1","fp","spillover1 fp",3,0,201,201,"Unambiguous","Match"
"2128","Native",5,12,"spillover1","fp","spillover1 fp",4,0,287,287,"Unambiguous","Mismatch"
"2130","Native",5,2,"spillover1","fp","spillover1 fp",2,1,0,NA,"Ambiguous","Mismatch"
"2132","Native",5,15,"spillover1","fp","spillover1 fp",3,0,160,160,"Unambiguous","Match"
"2134","Native",5,5,"spillover1","fp","spillover1 fp",1,0,333,333,"Ambiguous","Match"
"2136","Native",5,7,"spillover1","fp","spillover1 fp",3,1,0,NA,"Unambiguous","Match"
"2138","Native",5,22,"spillover1","fp","spillover1 fp",2,0,241,241,"Ambiguous","Mismatch"
"2140","Native",5,17,"spillover1","fp","spillover1 fp",1,0,170,170,"Ambiguous","Match"
"2142","Native",5,16,"spillover1","fp","spillover1 fp",4,0,172,172,"Unambiguous","Mismatch"
"2144","Native",5,1,"spillover1","fp","spillover1 fp",1,0,359,359,"Ambiguous","Match"
"2146","Native",5,14,"spillover1","fp","spillover1 fp",2,1,0,NA,"Ambiguous","Mismatch"
"2148","Native",5,24,"spillover1","fp","spillover1 fp",4,0,283,283,"Unambiguous","Mismatch"
"2150","Native",5,23,"spillover1","fp","spillover1 fp",3,0,184,184,"Unambiguous","Match"
"2152","Native",5,18,"spillover1","fp","spillover1 fp",2,0,384,384,"Ambiguous","Mismatch"
"2154","Native",5,11,"spillover1","fp","spillover1 fp",3,0,338,338,"Unambiguous","Match"
"2156","Native",5,20,"spillover1","fp","spillover1 fp",4,0,403,403,"Unambiguous","Mismatch"
"2158","Native",5,10,"spillover1","fp","spillover1 fp",2,0,180,180,"Ambiguous","Mismatch"
"2160","Native",5,6,"spillover1","fp","spillover1 fp",2,0,226,226,"Ambiguous","Mismatch"
"2161","Native",6,12,"spillover1","fp","spillover1 fp",1,0,133,133,"Ambiguous","Match"
"2163","Native",6,14,"spillover1","fp","spillover1 fp",3,0,150,150,"Unambiguous","Match"
"2165","Native",6,5,"spillover1","fp","spillover1 fp",2,0,133,133,"Ambiguous","Mismatch"
"2167","Native",6,22,"spillover1","fp","spillover1 fp",3,0,102,102,"Unambiguous","Match"
"2169","Native",6,15,"spillover1","fp","spillover1 fp",4,1,0,NA,"Unambiguous","Mismatch"
"2171","Native",6,17,"spillover1","fp","spillover1 fp",2,0,208,208,"Ambiguous","Mismatch"
"2173","Native",6,3,"spillover1","fp","spillover1 fp",4,1,0,NA,"Unambiguous","Mismatch"
"2175","Native",6,2,"spillover1","fp","spillover1 fp",3,0,251,251,"Unambiguous","Match"
"2177","Native",6,9,"spillover1","fp","spillover1 fp",2,0,146,146,"Ambiguous","Mismatch"
"2179","Native",6,8,"spillover1","fp","spillover1 fp",1,0,273,273,"Ambiguous","Match"
"2181","Native",6,24,"spillover1","fp","spillover1 fp",1,0,342,342,"Ambiguous","Match"
"2183","Native",6,11,"spillover1","fp","spillover1 fp",4,0,234,234,"Unambiguous","Mismatch"
"2185","Native",6,16,"spillover1","fp","spillover1 fp",1,0,147,147,"Ambiguous","Match"
"2187","Native",6,21,"spillover1","fp","spillover1 fp",2,0,193,193,"Ambiguous","Mismatch"
"2189","Native",6,13,"spillover1","fp","spillover1 fp",2,0,149,149,"Ambiguous","Mismatch"
"2191","Native",6,7,"spillover1","fp","spillover1 fp",4,0,144,144,"Unambiguous","Mismatch"
"2193","Native",6,19,"spillover1","fp","spillover1 fp",4,0,194,194,"Unambiguous","Mismatch"
"2195","Native",6,23,"spillover1","fp","spillover1 fp",4,0,180,180,"Unambiguous","Mismatch"
"2197","Native",6,1,"spillover1","fp","spillover1 fp",2,0,150,150,"Ambiguous","Mismatch"
